Latitude,Longitude,xx,Litho
-28.338333,31.373611,pa,pa__mt
-28.735556,29.820556,ss,sssh__
-27.602222,29.942778,vb,vb____
-28.116667,26.725278,ss,sssh__
-26.905,32.324722,su,supu__
-28.75,30.442778,vb,vb____
-29.161667,30.629722,ss,ssss__
-34.075556,20.145556,ss,ssmx__
-27.5275,30.858056,pa,pa__mt
-25.398889,31.610556,pa,pa__mt
-25.362222,31.956667,vb,vb____
-24.034167,31.123611,mt,mt____
-24.99328,30.81444,sc,scshch
-25.14944444,31.94055556,vb,vb____
-27.937778,31.209444,ss,ssmx__
-31.000833,26.353056,vb,vb____
-25.447222,30.711667,pa,pa__mt
-27.902778,24.615556,ss,ssmx__
-31.5653,18.3306,mt,mtpu__
-30.13573889,30.67422222,mt,mt____
-24.768889,31.39,pa,pa____
-22.548889,28.898056,mt,mtam__
-22.935,28.004167,mt,mtam__
-31.860278,18.6875,ss,ssssmt
-29.161667,23.696389,ss,ssmx__
-24.9675,31.516667,pb,pb____
-29.042222,24.6,ss,sssh__
-28.376944,24.303056,sm,smpymt
-29.028629,24.638389,ss,sssh__
-24.670833,28.560833,ss,ssssvr
-28.1175,26.719444,ss,sssh__
-29.033333,23.983333,ss,ssmx__
-34.405833,19.600556,ss,ssssmt
-28.96362,19.15486,wb,wb____
-34.005833,22.351111,pa,pa__mt
-34.02861,22.22222,pa,pa__mt
-27.935,26.126667,ss,sssh__
-27.4,26.624722,ss,ssmxcl
-29.615556,27.065278,ss,ssmx__
-23.838611,31.640833,vb,vb____
-28.768056,20.720556,wb,wb____
-31.436944,20.474722,ss,ssmx__
-28.7115,24.07288889,wb,wb____
-29.1825,23.575556,ss,ssmx__
-31.394444,20.947222,vb,vb____
-29.651389,22.746389,ss,ssmx__
-29.758889,30.935278,ss,ssmx__
-33.72266667,18.61691667,ss,ssshmt
-33.970833,22.548333,mt,mt____
-33.870833,20.003333,ss,ssmxmt
-33.464444,18.740556,pa,pa____
-33.08883333,19.21878333,ss,ssssmt
-32.94583,18.33667,su,supu__
-32.601389,18.750556,sm,smshmt
-28.308889,31.9025,ss,ssmxcl
-24.95861111,29.39527778,pa,pa____
-26.619444,27.980833,ss,ssmxcl
-26.510278,28.351389,ss,ssssmt
